dupe,w1,w2,col,p1,p2,len1,len2,lev,let1,let2,a,h,i
True,Year,yr,pw_unit_of_pay_9089,0.9197594841356762,0.05277512140655302,4,2,3,True,True,False,False,False
True,Hour,hr,pw_unit_of_pay_9089,0.020351958799237103,0.0019392993947035227,4,2,3,True,True,False,False,False
True,Week,wk,pw_unit_of_pay_9089,0.0004968452994694975,5.6095437036878737e-05,4,2,3,True,True,False,False,False
True,Month,mth,pw_unit_of_pay_9089,0.00032855898835886123,1.8698479012292914e-05,5,3,3,True,True,False,False,False
True,Bi-Weekly,bi,pw_unit_of_pay_9089,6.143785961181958e-05,1.335605643735208e-05,9,2,8,True,True,False,False,False
True,Year,yr,wage_offer_unit_of_pay_9089,0.6159572819890907,0.05271101233565373,4,2,3,True,True,False,False,False
True,Hour,hr,wage_offer_unit_of_pay_9089,0.018799985041216792,0.002086216015514395,4,2,3,True,True,False,False,False
True,Week,wk,wage_offer_unit_of_pay_9089,0.0003793120028207991,8.01363386241125e-05,4,2,3,True,True,False,False,False
True,Month,mth,wage_offer_unit_of_pay_9089,0.0002163681142851037,5.6095437036878737e-05,5,3,3,True,True,False,False,False
True,Bi-Weekly,bi,wage_offer_unit_of_pay_9089,5.342422574940833e-05,2.404090158723375e-05,9,2,8,True,True,False,False,False
True,Dog,Dog       ,Animal_Type,0.4782440864161594,0.14558996620809234,3,10,7,True,True,False,True,True
True,Dog,DOG ,Animal_Type,0.4782440864161594,0.08917519901788314,3,4,3,True,True,False,False,True
True,Dog,Dog                                     ,Animal_Type,0.4782440864161594,0.026362750433472974,3,40,37,True,True,False,True,True
True,Dog,dog,Animal_Type,0.4782440864161594,0.015231670737726704,3,3,1,True,True,True,False,True
True,Dog       ,DOG ,Animal_Type,0.14558996620809234,0.08917519901788314,10,4,8,True,True,False,False,True
True,Dog       ,Dog                                     ,Animal_Type,0.14558996620809234,0.026362750433472974,10,40,30,True,True,False,True,True
True,Dog       ,dog,Animal_Type,0.14558996620809234,0.015231670737726704,10,3,8,True,True,False,False,True
True,DOG ,Dog                                     ,Animal_Type,0.08917519901788314,0.026362750433472974,4,40,38,True,True,False,False,True
True,DOG ,dog,Animal_Type,0.08917519901788314,0.015231670737726704,4,3,4,True,True,False,False,True
True,Dog                                     ,dog,Animal_Type,0.026362750433472974,0.015231670737726704,40,3,38,True,True,False,False,True
True,Cat,Cat       ,Animal_Type,0.18026780403224785,0.0446825205978763,3,10,7,True,True,False,True,True
True,Cat,Cat                                     ,Animal_Type,0.18026780403224785,0.008846645488717044,3,40,37,True,True,False,True,True
True,Cat,CAT ,Animal_Type,0.18026780403224785,0.006979864073000645,3,4,3,True,True,False,False,True
True,Cat,cat,Animal_Type,0.18026780403224785,0.004619492994823637,3,3,1,True,True,True,False,True
True,Cat       ,Cat                                     ,Animal_Type,0.0446825205978763,0.008846645488717044,10,40,30,True,True,False,True,True
True,Cat       ,CAT ,Animal_Type,0.0446825205978763,0.006979864073000645,10,4,8,True,True,False,False,True
True,Cat       ,cat,Animal_Type,0.0446825205978763,0.004619492994823637,10,3,8,True,True,False,False,True
True,Cat                                     ,CAT ,Animal_Type,0.008846645488717044,0.006979864073000645,40,4,38,True,True,False,False,True
True,Cat                                     ,cat,Animal_Type,0.008846645488717044,0.004619492994823637,40,3,38,True,True,False,False,True
True,CAT ,cat,Animal_Type,0.006979864073000645,0.004619492994823637,4,3,4,True,True,False,False,True
True,SAN JUAN,SANJUAN,CITY,0.2923760177646188,0.0007401924500370098,8,7,1,True,True,False,False,True
True,SAN JUAN,SAN JUANS,CITY,0.2923760177646188,0.0007401924500370098,8,9,1,True,True,False,False,False
True,SANJUAN,SAN JUANS,CITY,0.0007401924500370098,0.0007401924500370098,7,9,2,True,True,False,False,False
True,MAYAGUEZ,MAYAQUEZ,CITY,0.04145077720207254,0.0007401924500370098,8,8,1,True,True,False,False,False
True,TRUJILLO ALTO,TRUJILLO ALTL,CITY,0.0059215396002960784,0.0007401924500370098,13,13,1,True,True,False,False,False
True,HATO REY,HATO RETY,CITY,0.0014803849000740196,0.0007401924500370098,8,9,1,True,True,False,False,False
True,CA,CALIFORNIA,agent_state,0.09429108723641824,0.053143748564223936,2,10,8,True,True,False,False,False
True,NY,NEW YORK,agent_state,0.043922727199876055,0.025256302723032788,2,8,6,True,True,False,False,False
True,TX,TEXAS,agent_state,0.028801000101506036,0.017849033822877322,2,5,3,True,True,False,False,False
True,GA,GEORGIA,agent_state,0.02353604265390184,0.00989149539750295,2,7,5,True,True,False,False,False
True,MA,MASSACHUSETTS,agent_state,0.021650167484947733,0.010813063291680244,2,13,11,True,True,False,False,False
True,IL,ILLINOIS,agent_state,0.018198962501535947,0.009902180242652834,2,8,6,True,True,False,False,False
True,MI,MICHIGAN,agent_state,0.01739225669271988,0.00909547443383677,2,8,6,True,True,False,False,False
True,VA,VIRGINIA,agent_state,0.014114680442993681,0.007303091659944119,2,8,6,True,True,False,False,False
True,NJ,NEW JERSEY,agent_state,0.013679273003136002,0.007404597688867994,2,10,8,True,True,False,False,False
True,FL,FLORIDA,agent_state,0.009886152974928009,0.004725372767535168,2,7,5,True,True,False,False,False
True,PA,PENNSYLVANIA,agent_state,0.009271774378809815,0.005345093786228303,2,12,10,True,True,False,False,False
True,AZ,ARIZONA,agent_state,0.008473082203856161,0.006483029794690701,2,7,5,True,True,False,False,False
True,MD,MARYLAND,agent_state,0.008069729299448127,0.004920371191520507,2,8,6,True,True,False,False,False
True,DC,DISTRICT OF COLUMBIA,agent_state,0.00641892072379141,0.004265924426090255,2,20,18,True,True,False,False,False
True,NC,NORTH CAROLINA,agent_state,0.0061304299047446045,0.003427164081824544,2,14,12,True,True,False,False,False
True,OH,OHIO,agent_state,0.005898034522734679,0.0035660670687730064,2,4,2,True,True,False,False,False
True,WA,WASHINGTON,agent_state,0.00518749232026755,0.0013810162356222052,2,10,8,True,True,False,False,False
True,CO,COLORADO,agent_state,0.003301617151313434,0.0020675175365021023,2,8,6,True,True,False,False,False
True,MN,MINNESOTA,agent_state,0.0030718929805909788,0.0016908767449687735,2,9,7,True,True,False,False,False
True,CT,CONNECTICUT,agent_state,0.0028261415421437005,0.0014932071096959627,2,11,9,True,True,False,False,False
True,MO,MISSOURI,agent_state,0.0017069040126935961,0.0011058814730127524,2,8,6,True,True,False,False,False
True,NE,NEBRASKA,agent_state,0.0011833466003493946,0.000654446765430252,2,8,6,True,True,False,False,False
True,TN,TENNESSEE,agent_state,0.0010791693601380481,0.0006704740331550745,2,9,7,True,True,False,False,False
True,WI,WISCONSIN,agent_state,0.0010497860359758736,0.0006945149347423082,2,9,7,True,True,False,False,False
True,LA,LOUISIANA,agent_state,0.0009803345425016428,0.0005475983139314354,2,9,7,True,True,False,False,False
True,SC,SOUTH CAROLINA,agent_state,0.0009242391054647641,0.00039533927054562164,2,14,12,True,True,False,False,False
True,OR,OREGON,agent_state,0.0008921845700151194,0.0006010225396808436,2,6,4,True,True,False,False,False
True,UT,UTAH,agent_state,0.0007960209636661841,0.00038198321410826965,2,4,2,True,True,False,False,False
True,OK,OKLAHOMA,agent_state,0.00051287256719432,0.0002804771851843937,2,8,6,True,True,False,False,False
True,IN,INDIANA,agent_state,0.000494174088182027,0.00034191504479621327,2,7,5,True,True,False,False,False
True,AL,ALABAMA,agent_state,0.000494174088182027,0.00028581960775933454,2,7,5,True,True,False,False,False
True,KY,KENTUCKY,agent_state,0.0004140377495579145,0.00019232721269787,2,8,6,True,True,False,False,False
True,KS,KANSAS,agent_state,0.00040869532698297367,0.0002831483964718641,2,6,4,True,True,False,False,False
True,VT,VERMONT,agent_state,0.0003793120028207991,0.00023773780458486704,2,7,5,True,True,False,False,False
True,ME,MAINE,agent_state,0.000333901410933802,0.00018965600141039962,2,5,3,True,True,False,False,False
True,IA,IOWA,agent_state,0.0002778059738969233,0.00018431357883545875,2,4,2,True,True,False,False,False
True,AR,ARKANSAS,agent_state,0.0002671211287470416,0.0001762999449730475,2,8,6,True,True,False,False,False
True,NH,NEW HAMPSHIRE,agent_state,0.00025643628359716,0.00019766963527281082,2,13,11,True,True,False,False,False
True,NM,NEW MEXICO,agent_state,0.00024308022715980787,0.00011753329664869831,2,10,8,True,True,False,False,False
True,RI,RHODE ISLAND,agent_state,0.00015225904338581373,0.0001148620853612279,2,12,10,True,True,False,False,False
True,HI,HAWAII,agent_state,0.0001469166208108729,9.082118377399417e-05,2,6,4,True,True,False,False,False
True,MS,MISSISSIPPI,agent_state,0.0001335605643735208,7.212270476170124e-05,2,11,9,True,True,False,False,False
True,PR,PUERTO RICO,agent_state,0.00012821814179858,7.212270476170124e-05,2,11,9,True,True,False,False,False
True,DELAWARE,DE,agent_state,7.479391604917166e-05,1.335605643735208e-05,8,2,6,True,True,False,False,False
True,NV,NEVADA,agent_state,6.945149347423082e-05,4.006816931205625e-05,2,6,4,True,True,False,False,False
True,MT,MONTANA,agent_state,3.739695802458583e-05,1.0684845149881663e-05,2,7,5,True,True,False,False,False
